movie_id,title,genre,imdb
tt0277327,As Far as My Feet Will Carry Me,"Action,Adventure,Drama",7.3
tt0277434,We Were Soldiers,"Action,Drama,History",7.2
tt0277615,Bug,Comedy,7.1
tt0278006,Killing Mad Dogs,"Drama,Mystery,Thriller",7.6
tt0278504,Insomnia,"Drama,Mystery,Thriller",7.2
tt0278736,Stanley Kubrick: A Life in Pictures,"Biography,Documentary",8.0
tt0279064,Elling,"Comedy,Drama",7.5
tt0279065,Time Out,Drama,7.3
tt0279112,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","Action,Adventure,Drama",7.0
tt0279248,Dudes,"Comedy,Music,Musical",7.9
tt0279783,Maids,"Comedy,Drama",7.2
tt0279977,The Navigators,"Comedy,Drama",7.0
tt0280015,Violet Perfume: Nobody Hears You,Drama,7.1
tt0280381,25 Watts,"Comedy,Drama",7.1
tt0280477,Better Luck Tomorrow,"Crime,Drama,Romance",7.0
tt0280491,Bloody Sunday,"Drama,History,War",7.6
tt0280599,Devadoothan,"Drama,Horror,Musical",7.7
tt0280653,Amen.,"Biography,Crime,Drama",7.2
tt0280707,Gosford Park,"Comedy,Drama,Mystery",7.2
tt0280778,Iris,"Biography,Drama,Romance",7.0
tt0281358,A Walk to Remember,"Drama,Romance",7.3
tt0281718,Friend,"Action,Crime,Drama",7.2
tt0281724,Cinemania,Documentary,7.1
tt0282599,Il Mare,"Drama,Fantasy,Romance",7.5
tt0282864,Promises,Documentary,8.3
tt0282917,Year of the Devil,"Comedy,Drama,Fantasy",7.3
tt0283139,White Oleander,Drama,7.1
tt0283269,Boomerang,"Comedy,Crime,Mystery",7.4
tt0283283,Millennium Mambo,"Drama,Romance",7.0
tt0283509,No Man's Land,"Comedy,Drama,War",7.9
tt0283832,8 Women,"Comedy,Crime,Musical",7.0
tt0283900,The Spanish Apartment,"Comedy,Drama,Romance",7.3
tt0284137,Gadar: Ek Prem Katha,"Action,Drama,Romance",7.3
tt0284262,Life and Debt,Documentary,7.4
tt0284363,I Served the King of England,"Comedy,Drama,Romance",7.3
tt0284492,Sisters,"Crime,Drama",7.0
tt0284494,Skins,"Crime,Drama",7.0
tt0284595,In August of 1944,"Action,Drama,Mystery",7.3
tt0284815,Address Unknown,"Drama,War",7.2
tt0285052,Strange Gardens,"Drama,War",7.0
tt0285441,Atanarjuat: The Fast Runner,Drama,7.4
tt0285742,Monster's Ball,"Drama,Romance",7.0
tt0285861,Owning Mahowny,"Crime,Drama,Thriller",7.0
tt0285993,Rhythm,"Drama,Musical,Romance",7.7
tt0286112,Shaolin Soccer,"Action,Comedy,Fantasy",7.3
tt0286244,The Triplets of Belleville,"Adventure,Animation,Comedy",7.7
tt0286261,All or Nothing,Drama,7.5
tt0286476,Autumn Spring,"Comedy,Drama",7.4
tt0286516,Respiro,Drama,7.0
tt0287457,Genesis,Documentary,7.1
tt0287467,Talk to Her,"Drama,Mystery,Romance",7.9
tt0287471,Late Marriage,"Comedy,Drama,Romance",7.1
tt0287803,Fate,Drama,7.5
tt0288330,Zelary,"Drama,Romance,War",7.5
tt0288439,Bang Bang You're Dead,"Crime,Drama,Thriller",7.7
tt0288491,"Hi, Tereska",Drama,7.1
tt0288861,Godforsaken,"Crime,Drama,Thriller",7.1
tt0289043,28 Days Later,"Drama,Horror,Sci-Fi",7.5
tt0289080,Days of El-Sadat,"Biography,Drama,History",7.4
tt0289181,Failan,"Drama,Romance",7.5
tt0289229,Hukkle,"Crime,Drama,Mystery",7.0
tt0289320,Stuff and Dough,"Drama,Thriller",7.3
tt0289765,Red Dragon,"Crime,Drama,Thriller",7.2
tt0289879,The Butterfly Effect,"Drama,Sci-Fi,Thriller",7.6
tt0289992,The Life of David Gale,"Crime,Drama,Mystery",7.5
tt0290015,No Regrets,"Comedy,Drama,Romance",7.0
tt0290296,Space Station 3D,Documentary,7.3
